arch,model_id,method,task,sample_size,seed,accuracy,majority_baseline,collapsed,exploded,max_grad_norm_observed,trainable_params,total_params,trainable_ratio
decoder-only,Qwen/Qwen3-0.6B,bitfit,mrpc,48,7,0.5563725490196079,0.6838235294117647,True,False,62.5,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,mrpc,48,13,0.6764705882352942,0.6838235294117647,True,False,118.5,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,mrpc,48,29,0.6715686274509803,0.6838235294117647,True,False,61.75,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,mrpc,96,7,0.6397058823529411,0.6838235294117647,True,False,53.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,mrpc,96,13,0.6715686274509803,0.6838235294117647,True,False,117.5,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,mrpc,96,29,0.6617647058823529,0.6838235294117647,True,False,52.25,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,mrpc,192,7,0.6446078431372549,0.6838235294117647,True,False,64.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,mrpc,192,13,0.7009803921568627,0.6838235294117647,False,False,112.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,mrpc,192,29,0.678921568627451,0.6838235294117647,True,False,52.75,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,mrpc,384,7,0.7083333333333334,0.6838235294117647,False,False,71.5,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,mrpc,384,13,0.7156862745098039,0.6838235294117647,False,False,97.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,mrpc,384,29,0.6887254901960784,0.6838235294117647,False,False,59.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,qnli,48,7,0.5464030752333883,0.5053999633900788,False,False,47.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,qnli,48,13,0.5398132894014278,0.5053999633900788,False,False,90.5,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,qnli,48,29,0.5198608822991031,0.5053999633900788,False,False,35.25,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,qnli,96,7,0.5665385319421563,0.5053999633900788,False,False,70.5,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,qnli,96,13,0.5740435658063335,0.5053999633900788,False,False,107.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,qnli,96,29,0.5354200988467874,0.5053999633900788,False,False,51.75,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,qnli,192,7,0.5822807980962841,0.5053999633900788,False,False,76.5,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,qnli,192,13,0.585941790225151,0.5053999633900788,False,False,105.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,qnli,192,29,0.5601317957166392,0.5053999633900788,False,False,56.75,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,qnli,384,7,0.6095551894563427,0.5053999633900788,False,False,96.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,qnli,384,13,0.6159619256818598,0.5053999633900788,False,False,106.5,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,qnli,384,29,0.6025993044114956,0.5053999633900788,False,False,63.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,rte,48,7,0.51985559566787,0.5270758122743683,True,False,77.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,rte,48,13,0.555956678700361,0.5270758122743683,False,False,78.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,rte,48,29,0.4620938628158845,0.5270758122743683,True,False,53.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,rte,96,7,0.5379061371841155,0.5270758122743683,False,False,74.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,rte,96,13,0.5667870036101083,0.5270758122743683,False,False,78.5,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,rte,96,29,0.47653429602888087,0.5270758122743683,True,False,49.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,rte,192,7,0.555956678700361,0.5270758122743683,False,False,91.5,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,rte,192,13,0.5848375451263538,0.5270758122743683,False,False,106.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,rte,192,29,0.5090252707581228,0.5270758122743683,True,False,58.75,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,rte,384,7,0.5379061371841155,0.5270758122743683,False,False,106.5,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,rte,384,13,0.6353790613718412,0.5270758122743683,False,False,98.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,rte,384,29,0.5306859205776173,0.5270758122743683,False,False,73.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,sst2,48,7,0.5091743119266054,0.5091743119266054,False,False,87.5,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,sst2,48,13,0.5160550458715596,0.5091743119266054,False,False,33.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,sst2,48,29,0.5378440366972477,0.5091743119266054,False,False,53.25,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,sst2,96,7,0.5389908256880734,0.5091743119266054,False,False,72.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,sst2,96,13,0.6181192660550459,0.5091743119266054,False,False,42.5,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,sst2,96,29,0.591743119266055,0.5091743119266054,False,False,53.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,sst2,192,7,0.5848623853211009,0.5091743119266054,False,False,98.5,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,sst2,192,13,0.6674311926605505,0.5091743119266054,False,False,51.75,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,sst2,192,29,0.713302752293578,0.5091743119266054,False,False,54.5,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,sst2,384,7,0.7052752293577982,0.5091743119266054,False,False,84.0,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,sst2,384,13,0.7694954128440367,0.5091743119266054,False,False,70.5,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,bitfit,sst2,384,29,0.7259174311926605,0.5091743119266054,False,False,52.75,2048,596051968,3.435942015042554e-06
decoder-only,Qwen/Qwen3-0.6B,ia3,mrpc,48,7,0.5612745098039216,0.6838235294117647,True,False,62.52642059326172,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,mrpc,48,13,0.678921568627451,0.6838235294117647,True,False,118.55159759521484,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,mrpc,48,29,0.6715686274509803,0.6838235294117647,True,False,61.780757904052734,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,mrpc,96,7,0.6666666666666666,0.6838235294117647,True,False,53.023189544677734,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,mrpc,96,13,0.6764705882352942,0.6838235294117647,True,False,117.54515075683594,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,mrpc,96,29,0.6691176470588235,0.6838235294117647,True,False,52.28261184692383,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,mrpc,192,7,0.6666666666666666,0.6838235294117647,True,False,64.03340148925781,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,mrpc,192,13,0.7034313725490197,0.6838235294117647,False,False,112.04353332519531,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,mrpc,192,29,0.6985294117647058,0.6838235294117647,False,False,52.77973175048828,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,mrpc,384,7,0.7205882352941176,0.6838235294117647,False,False,71.52702331542969,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,mrpc,384,13,0.7230392156862745,0.6838235294117647,False,False,97.03417205810547,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,mrpc,384,29,0.7132352941176471,0.6838235294117647,False,False,59.033348083496094,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,48,7,0.5489657697235951,0.5053999633900788,False,False,47.01652908325195,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,48,13,0.5361522972725609,0.5053999633900788,False,False,90.5274887084961,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,48,29,0.5240710232473,0.5053999633900788,False,False,35.26605987548828,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,96,7,0.5828299469156142,0.5053999633900788,False,False,70.53610229492188,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,96,13,0.581182500457624,0.5053999633900788,False,False,107.03121948242188,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,96,29,0.5464030752333883,0.5053999633900788,False,False,49.767032623291016,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,192,7,0.6144975288303131,0.5053999633900788,False,False,76.53501892089844,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,192,13,0.6018671059857221,0.5053999633900788,False,False,105.03491973876953,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,192,29,0.5897858319604613,0.5053999633900788,False,False,56.77267837524414,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,384,7,0.6615412776862529,0.5053999633900788,False,False,96.03791809082031,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,384,13,0.662639575324913,0.5053999633900788,False,False,106.52836608886719,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,qnli,384,29,0.6617243272926964,0.5053999633900788,False,False,63.77426528930664,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,48,7,0.516245487364621,0.5270758122743683,True,False,77.02730560302734,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,48,13,0.555956678700361,0.5270758122743683,False,False,78.0237808227539,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,48,29,0.4620938628158845,0.5270758122743683,True,False,53.02349090576172,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,96,7,0.5487364620938628,0.5270758122743683,False,False,74.02195739746094,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,96,13,0.5703971119133574,0.5270758122743683,False,False,78.52423095703125,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,96,29,0.48014440433212996,0.5270758122743683,True,False,49.021148681640625,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,192,7,0.5667870036101083,0.5270758122743683,False,False,91.53001403808594,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,192,13,0.5956678700361011,0.5270758122743683,False,False,106.02655029296875,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,192,29,0.5234657039711191,0.5270758122743683,True,False,58.52045822143555,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,384,7,0.5848375451263538,0.5270758122743683,False,False,106.5342788696289,174080,596226048,0.0002919698000178617
decoder-only,Qwen/Qwen3-0.6B,ia3,rte,384,13,0.631768953068592,0.5270758122743683,False,False,98.02953338623047,174080,596226048,0.0002919698000178617
